Match ID,Date,Venue,Team1,Team2,Toss Winner,Toss Decision,Stage,First Innings Score,First Innings Wicket,Second Innings score,Second Innings Wicket,Match Winner,Won by,Margin,Player of the match
1,12-Mar-10,"DY Patil Stadium, Mumbai",Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,Field,Group,161,4,150,7,Kolkata Knight Riders,Runs,11,Angelo Mathews
2,13-Mar-10,"Brabourne Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Mumbai Indians,Bat,Group,212,6,208,7,Mumbai Indians,Runs,4,Yusuf Pathan
3,13-Mar-10,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Field,Group,142,9,146,5,Delhi Daredevils,Wickets,5,Gautam Gambhir
4,14-Mar-10,"Eden Gardens, Kolkata",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,135,7,136,3,Kolkata Knight Riders,Wickets,7,Manoj Tiwary
5,14-Mar-10,"M. A. Chidambaram Stadium, Chennai",Deccan Chargers,Chennai Super Kings,Deccan Chargers,Bat,Group,190,4,159,9,Deccan Chargers,Runs,31,Chaminda Vaas
6,15-Mar-10,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Field,Group,141,6,142,4,Delhi Daredevils,Wickets,6,Virender Sehwag
7,16-Mar-10,"M. Chinnaswamy Stadium, Bangalore",Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Bat,Group,203,3,204,2,Royal Challengers Bangalore,Wickets,8,Jacques Kallis
8,16-Mar-10,"Eden Gardens, Kolkata",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat,Group,164,3,109,10,Chennai Super Kings,Runs,55,Mahendra Singh Dhoni
9,17-Mar-10,"Feroz Shah Kotla, Delhi",Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Field,Group,218,7,120,10,Mumbai Indians,Runs,98,Sachin Tendulkar
10,18-Mar-10,"M. Chinnaswamy Stadium, Bangalore",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,92,10,93,0,Royal Challengers Bangalore,Wickets,10,Jacques Kallis
11,19-Mar-10,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Bat,Group,185,6,190,5,Chennai Super Kings,Wickets,5,Mathew Hayden
12,19-Mar-10,"Barabati Stadium, Cuttack",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,Field,Group,170,7,164,8,Deccan Chargers,Runs,6,Andrew Symonds
13,20-Mar-10,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Bat,Group,168,7,134,5,Rajasthan Royals,Runs,34,Abhishek Jhunjhunwala
14,20-Mar-10,"Brabourne Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Bat,Group,151,9,155,3,Royal Challengers Bangalore,Wickets,7,Jacques Kallis
15,21-Mar-10,"Barabati Stadium, Cuttack",Deccan Chargers,Delhi Daredevils,Deccan Chargers,Bat,Group,171,6,161,9,Deccan Chargers,Runs,10,Andrew Symonds
16,21-Mar-10,"M. A. Chidambaram Stadium, Chennai",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Field,Group,136,8,136,7,Kings XI Punjab,Super Over,,Juan Theron
