Match ID,Date,Venue,Team1,Team2,Toss Winner,Stage,Toss Decision,First Innings Score,First Innings Wicket,Second Innings score,Second Innings Wicket,Match Winner,Won by,Margin,Player of the match
1,16-04-2014,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Group,Bat,163,5,122,7,Kolkata Knight Riders,Runs,41,Jacques Kallis
2,17-04-2014,Sharjah Cricket Stadium,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Group,Field,145,4,146,2,Royal Challengers Bangalore,Wickets,8,Yuzvendra Chahal
3,18-04-2014,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Group,Bat,205,4,206,4,Kings XI Punjab,Wickets,6,Glenn Maxwell
4,18-04-2014,"Sheikh Zayed Stadium, Abu Dhabi",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Group,Field,133,6,135,6,Rajasthan Royals,Wickets,4,Ajinkya Rahane
5,19-04-2014,Dubai International Cricket Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Group,Field,115,9,116,3,Royal Challengers Bangalore,Wickets,7,Parthiv Patel
6,19-04-2014,Dubai International Cricket Stadium,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Group,Bat,166,5,167,6,Delhi Daredevils,Wickets,4,JP Duminy
7,20-04-2014,Sharjah Cricket Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Group,Field,191,5,193,3,Kings XI Punjab,Wickets,7,Glenn Maxwell
8,21-04-2014,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Group,Bat,177,7,84,10,Chennai Super Kings,Runs,93,Suresh Raina
9,22-04-2014,Sharjah Cricket Stadium,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,Group,Field,193,6,121,10,Kings XI Punjab,Runs,72,Glenn Maxwell
10,23-04-2014,Dubai International Cricket Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Group,Field,140,6,133,10,Chennai Super Kings,Runs,7,Ravindra Jadeja
11,24-04-2014,Sharjah Cricket Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Group,Field,150,7,148,5,Kolkata Knight Riders,Runs,2,Chris Lynn
12,25-04-2014,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Group,Bat,184,1,180,4,Sunrisers Hyderabad,Runs,4,Aaron Finch
13,25-04-2014,Dubai International Cricket Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Group,Bat,141,7,142,3,Chennai Super Kings,Wickets,7,Mohit Sharma
14,26-04-2014,"Sheikh Zayed Stadium, Abu Dhabi",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Group,Field,70,10,71,4,Rajasthan Royals,Wickets,6,Pravin Tambe
15,26-04-2014,"Sheikh Zayed Stadium, Abu Dhabi",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Group,Field,132,9,109,10,Kings XI Punjab,Runs,23,Sandeep Sharma
